F 	Date            	Hmsec 	ID   	Event 	Tag 	EvHere 	LgrThere 	EvThere 	Owner 	NextOwner 	Reversal 	Success 	VisitHist 	SigVisits 	SuccessVisits
D 	2022-02-06 12:17:23	 982 	c1935 	  187  	3B00193C3E 	 187 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:17:27	 825 	c1935 	  188  	01103FD3AC 	 188 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:27:08	 613 	c1935 	  189  	01103FB7C4 	 189 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 12:34:24	 620 	c1935 	  193  	01103F8B45 	 193 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:34:41	 559 	c1935 	  194  	3B001866DD 	 194 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	9
D 	2022-02-06 12:43:07	 642 	c1935 	  195  	01103FE6E1 	 195 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	0
D 	2022-02-06 12:43:26	 371 	c1935 	  197  	01103FCA03 	 197 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 14:20:52	  19 	c1935 	  200  	01103FD851 	 200 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 14:24:51	 453 	c1935 	  201  	01103FAD65 	 201 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-07 10:30:07	 660 	c1935 	  268  	0300024FEF 	 268 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	0
T 	2022-02-07 10:35:52	 546 	c1935 	  299 
S
D 	2022-02-07 10:36:07	 190 	c1935 	  321  	0000000000 	 321 	c   0 	   0 	c1935 	c0 	0 	0 	1111111111111111 	303 	0 	57
D 	2022-02-06 12:43:16	 752 	c1935 	  196  	01103FDF3E 	 196 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	7723
D 	2022-02-06 10:44:12	  61 	c1935 	  167  	01103FE66A 	 167 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:33:24	 195 	c1935 	  170  	01103FE42F 	 170 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 11:33:38	 697 	c1935 	  171  	01103FE16A 	 171 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:48:27	 490 	c1935 	  175  	01103F9ECD 	 175 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	883
D 	2022-02-06 11:47:06	 865 	c1935 	  173  	01103F9C82 	 173 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 14:18:00	 571 	c1935 	  199  	01103FD2FF 	 199 	c   0 	   0 	c1935 	c0 	0 	0 	             111 	3 	0 	8980
D 	2022-02-06 11:50:18	 597 	c1935 	  178  	01103FE111 	 178 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:52:44	 813 	c1935 	  180  	01103F7DB1 	 180 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:59:06	  86 	c1935 	  182  	3B0018D8D2 	 182 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	7
D 	2022-02-06 12:03:28	 181 	c1935 	  183  	01103F4AD8 	 183 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	5
D 	2022-02-06 12:08:43	 290 	c1935 	  184  	01103FC974 	 184 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:15:28	  16 	c1935 	  186  	01103F6817 	 186 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 12:17:23	 982 	c1935 	  187  	3B00193C3E 	 187 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:17:27	 825 	c1935 	  188  	01103FD3AC 	 188 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:27:08	 613 	c1935 	  189  	01103FB7C4 	 189 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 12:34:24	 620 	c1935 	  193  	01103F8B45 	 193 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:34:41	 559 	c1935 	  194  	3B001866DD 	 194 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	9
D 	2022-02-06 12:43:07	 642 	c1935 	  195  	01103FE6E1 	 195 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	0
D 	2022-02-06 12:43:26	 371 	c1935 	  197  	01103FCA03 	 197 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 14:20:52	  19 	c1935 	  200  	01103FD851 	 200 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 14:24:51	 453 	c1935 	  201  	01103FAD65 	 201 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-07 10:30:07	 660 	c1935 	  268  	0300024FEF 	 268 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	0
T 	2022-02-07 10:36:08	 452 	c1935 	  323 
S
D 	2022-02-07 10:36:24	 365 	c1935 	  347  	0000000000 	 347 	c   0 	   0 	c1935 	c0 	0 	0 	1111111111111111 	329 	0 	74
D 	2022-02-06 12:43:16	 752 	c1935 	  196  	01103FDF3E 	 196 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	7723
D 	2022-02-06 10:44:12	  61 	c1935 	  167  	01103FE66A 	 167 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:33:24	 195 	c1935 	  170  	01103FE42F 	 170 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 11:33:38	 697 	c1935 	  171  	01103FE16A 	 171 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:48:27	 490 	c1935 	  175  	01103F9ECD 	 175 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	883
D 	2022-02-06 11:47:06	 865 	c1935 	  173  	01103F9C82 	 173 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 14:18:00	 571 	c1935 	  199  	01103FD2FF 	 199 	c   0 	   0 	c1935 	c0 	0 	0 	             111 	3 	0 	8980
D 	2022-02-06 11:50:18	 597 	c1935 	  178  	01103FE111 	 178 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:52:44	 813 	c1935 	  180  	01103F7DB1 	 180 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:59:06	  86 	c1935 	  182  	3B0018D8D2 	 182 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	7
D 	2022-02-06 12:03:28	 181 	c1935 	  183  	01103F4AD8 	 183 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	5
D 	2022-02-06 12:08:43	 290 	c1935 	  184  	01103FC974 	 184 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:15:28	  16 	c1935 	  186  	01103F6817 	 186 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 12:17:23	 982 	c1935 	  187  	3B00193C3E 	 187 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:17:27	 825 	c1935 	  188  	01103FD3AC 	 188 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:27:08	 613 	c1935 	  189  	01103FB7C4 	 189 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 12:34:24	 620 	c1935 	  193  	01103F8B45 	 193 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:34:41	 559 	c1935 	  194  	3B001866DD 	 194 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	9
D 	2022-02-06 12:43:07	 642 	c1935 	  195  	01103FE6E1 	 195 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	0
D 	2022-02-06 12:43:26	 371 	c1935 	  197  	01103FCA03 	 197 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 14:20:52	  19 	c1935 	  200  	01103FD851 	 200 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 14:24:51	 453 	c1935 	  201  	01103FAD65 	 201 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-07 10:30:07	 660 	c1935 	  268  	0300024FEF 	 268 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	0
T 	2022-02-07 10:36:25	 665 	c1935 	  349 
S
D 	2022-02-07 10:36:45	 256 	c1935 	  371  	0000000000 	 371 	c   0 	   0 	c1935 	c0 	0 	0 	1111111111111111 	353 	0 	95
D 	2022-02-06 12:43:16	 752 	c1935 	  196  	01103FDF3E 	 196 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	7723
D 	2022-02-06 10:44:12	  61 	c1935 	  167  	01103FE66A 	 167 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:33:24	 195 	c1935 	  170  	01103FE42F 	 170 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 11:33:38	 697 	c1935 	  171  	01103FE16A 	 171 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:48:27	 490 	c1935 	  175  	01103F9ECD 	 175 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	883
D 	2022-02-06 11:47:06	 865 	c1935 	  173  	01103F9C82 	 173 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 14:18:00	 571 	c1935 	  199  	01103FD2FF 	 199 	c   0 	   0 	c1935 	c0 	0 	0 	             111 	3 	0 	8980
D 	2022-02-06 11:50:18	 597 	c1935 	  178  	01103FE111 	 178 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:52:44	 813 	c1935 	  180  	01103F7DB1 	 180 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:59:06	  86 	c1935 	  182  	3B0018D8D2 	 182 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	7
D 	2022-02-06 12:03:28	 181 	c1935 	  183  	01103F4AD8 	 183 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	5
D 	2022-02-06 12:08:43	 290 	c1935 	  184  	01103FC974 	 184 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:15:28	  16 	c1935 	  186  	01103F6817 	 186 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 12:17:23	 982 	c1935 	  187  	3B00193C3E 	 187 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:17:27	 825 	c1935 	  188  	01103FD3AC 	 188 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:27:08	 613 	c1935 	  189  	01103FB7C4 	 189 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 12:34:24	 620 	c1935 	  193  	01103F8B45 	 193 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:34:41	 559 	c1935 	  194  	3B001866DD 	 194 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	9
D 	2022-02-06 12:43:07	 642 	c1935 	  195  	01103FE6E1 	 195 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	0
D 	2022-02-06 12:43:26	 371 	c1935 	  197  	01103FCA03 	 197 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 14:20:52	  19 	c1935 	  200  	01103FD851 	 200 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 14:24:51	 453 	c1935 	  201  	01103FAD65 	 201 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-07 10:30:07	 660 	c1935 	  268  	0300024FEF 	 268 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	0
T 	2022-02-07 10:36:46	 665 	c1935 	  371 
S
D 	2022-02-07 10:37:03	 866 	c1935 	  393  	0000000000 	 393 	c   0 	   0 	c1935 	c0 	0 	0 	1111111111111111 	375 	0 	113
D 	2022-02-06 12:43:16	 752 	c1935 	  196  	01103FDF3E 	 196 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	7723
D 	2022-02-06 10:44:12	  61 	c1935 	  167  	01103FE66A 	 167 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:33:24	 195 	c1935 	  170  	01103FE42F 	 170 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 11:33:38	 697 	c1935 	  171  	01103FE16A 	 171 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:48:27	 490 	c1935 	  175  	01103F9ECD 	 175 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	883
D 	2022-02-06 11:47:06	 865 	c1935 	  173  	01103F9C82 	 173 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 14:18:00	 571 	c1935 	  199  	01103FD2FF 	 199 	c   0 	   0 	c1935 	c0 	0 	0 	             111 	3 	0 	8980
D 	2022-02-06 11:50:18	 597 	c1935 	  178  	01103FE111 	 178 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:52:44	 813 	c1935 	  180  	01103F7DB1 	 180 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:59:06	  86 	c1935 	  182  	3B0018D8D2 	 182 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	7
D 	2022-02-06 12:03:28	 181 	c1935 	  183  	01103F4AD8 	 183 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	5
D 	2022-02-06 12:08:43	 290 	c1935 	  184  	01103FC974 	 184 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:15:28	  16 	c1935 	  186  	01103F6817 	 186 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 12:17:23	 982 	c1935 	  187  	3B00193C3E 	 187 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:17:27	 825 	c1935 	  188  	01103FD3AC 	 188 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:27:08	 613 	c1935 	  189  	01103FB7C4 	 189 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 12:34:24	 620 	c1935 	  193  	01103F8B45 	 193 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:34:41	 559 	c1935 	  194  	3B001866DD 	 194 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	9
D 	2022-02-06 12:43:07	 642 	c1935 	  195  	01103FE6E1 	 195 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	0
D 	2022-02-06 12:43:26	 371 	c1935 	  197  	01103FCA03 	 197 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 14:20:52	  19 	c1935 	  200  	01103FD851 	 200 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 14:24:51	 453 	c1935 	  201  	01103FAD65 	 201 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-07 10:30:07	 660 	c1935 	  268  	0300024FEF 	 268 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	0
T 	2022-02-07 10:37:05	 129 	c1935 	  394 
S
D 	2022-02-07 10:37:30	 608 	c1935 	  414  	0000000000 	 414 	c   0 	   0 	c1935 	c0 	0 	0 	1111111111111111 	396 	0 	140
D 	2022-02-06 12:43:16	 752 	c1935 	  196  	01103FDF3E 	 196 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	7723
D 	2022-02-06 10:44:12	  61 	c1935 	  167  	01103FE66A 	 167 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:33:24	 195 	c1935 	  170  	01103FE42F 	 170 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 11:33:38	 697 	c1935 	  171  	01103FE16A 	 171 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:48:27	 490 	c1935 	  175  	01103F9ECD 	 175 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	883
D 	2022-02-06 11:47:06	 865 	c1935 	  173  	01103F9C82 	 173 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 14:18:00	 571 	c1935 	  199  	01103FD2FF 	 199 	c   0 	   0 	c1935 	c0 	0 	0 	             111 	3 	0 	8980
D 	2022-02-06 11:50:18	 597 	c1935 	  178  	01103FE111 	 178 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:52:44	 813 	c1935 	  180  	01103F7DB1 	 180 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:59:06	  86 	c1935 	  182  	3B0018D8D2 	 182 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	7
D 	2022-02-06 12:03:28	 181 	c1935 	  183  	01103F4AD8 	 183 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	5
D 	2022-02-06 12:08:43	 290 	c1935 	  184  	01103FC974 	 184 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:15:28	  16 	c1935 	  186  	01103F6817 	 186 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 12:17:23	 982 	c1935 	  187  	3B00193C3E 	 187 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:17:27	 825 	c1935 	  188  	01103FD3AC 	 188 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-06 12:27:08	 613 	c1935 	  189  	01103FB7C4 	 189 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 12:34:24	 620 	c1935 	  193  	01103F8B45 	 193 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 12:34:41	 559 	c1935 	  194  	3B001866DD 	 194 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	9
D 	2022-02-06 12:43:07	 642 	c1935 	  195  	01103FE6E1 	 195 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	0
D 	2022-02-06 12:43:26	 371 	c1935 	  197  	01103FCA03 	 197 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 14:20:52	  19 	c1935 	  200  	01103FD851 	 200 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	2
D 	2022-02-06 14:24:51	 453 	c1935 	  201  	01103FAD65 	 201 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	1
D 	2022-02-07 10:30:07	 660 	c1935 	  268  	0300024FEF 	 268 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	0
T 	2022-02-07 10:37:32	 747 	c1935 	  415 
S
D 	2022-02-07 10:37:52	 108 	c1935 	  439  	0000000000 	 439 	c   0 	   0 	c1935 	c0 	0 	0 	1111111111111111 	421 	0 	162
D 	2022-02-06 12:43:16	 752 	c1935 	  196  	01103FDF3E 	 196 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	7723
D 	2022-02-06 10:44:12	  61 	c1935 	  167  	01103FE66A 	 167 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	3
D 	2022-02-06 11:33:24	 195 	c1935 	  170  	01103FE42F 	 170 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	6
D 	2022-02-06 11:33:38	 697 	c1935 	  171  	01103FE16A 	 171 	c   0 	   0 	c1935 	c0 	0 	0 	               1 	1 	0 	4
D 	2022-02-06 11:48:27	 490 	c1935 	  175  	01103F9ECD 	 175 	c   0 	   0 	c1935 	c0 	0 	0 	              11 	2 	0 	883
