"chNtimeDate25"	"timeDate"	"RFID"
"A0608400213150120"	"400213150120"	"103F51E9"
"A0614400213150120"	"400213150120"	"103F51E9"
"A0603410213150120"	"410213150120"	"103F51E9"
"A0608410213150120"	"410213150120"	"103F51E9"
"A0614410213150120"	"410213150120"	"103F51E9"
"A0603420213150120"	"420213150120"	"103F51E9"
"A0610430213150120"	"430213150120"	"103F4A5C"
"A0615430213150120"	"430213150120"	"103F4A5C"
"A0605440213150120"	"440213150120"	"103F4A5C"
"A0610440213150120"	"440213150120"	"103F4A5C"
"A0603010413150120"	"010413150120"	"103F51E9"
"A0608010413150120"	"010413150120"	"103F51E9"
"A0602020413150120"	"020413150120"	"103F51E9"
"A0608020413150120"	"020413150120"	"103F51E9"
"A0603410413150120"	"410413150120"	"103F4A5C"
"A0609410413150120"	"410413150120"	"103F4A5C"
"A0601411613150120"	"411613150120"	"103F51E9"
"A0607411613150120"	"411613150120"	"103F51E9"
"A0612411613150120"	"411613150120"	"103F51E9"
"A0601421613150120"	"421613150120"	"103F51E9"
"A0607421613150120"	"421613150120"	"103F51E9"
"A0601431613150120"	"431613150120"	"103F51E9"
"A0607431613150120"	"431613150120"	"103F51E9"
"A0613241713150120"	"241713150120"	"103F51E9"
"A0602251713150120"	"251713150120"	"103F51E9"
"A0613081813150120"	"081813150120"	"103F51E9"
"A0602321813150120"	"321813150120"	"10170740"
"A0607321813150120"	"321813150120"	"10170740"
"A0613321813150120"	"321813150120"	"10170740"
"A0608331813150120"	"331813150120"	"10170740"
"A0614331813150120"	"331813150120"	"10170740"
"A0605101913150120"	"101913150120"	"103F51E9"
"A0607111913150120"	"111913150120"	"103F51E9"
"A0610461913150120"	"461913150120"	"10170740"
"A0605541913150120"	"541913150120"	"103F51E9"
"A0610541913150120"	"541913150120"	"103F51E9"
"A0615541913150120"	"541913150120"	"103F51E9"
"A0604551913150120"	"551913150120"	"103F51E9"
"A0610551913150120"	"551913150120"	"103F51E9"
"A0615551913150120"	"551913150120"	"103F51E9"
"A0604561913150120"	"561913150120"	"103F51E9"
"A0610561913150120"	"561913150120"	"103F51E9"
"A0615561913150120"	"561913150120"	"103F51E9"
"A0604571913150120"	"571913150120"	"103F51E9"
"A0610571913150120"	"571913150120"	"103F51E9"
"A0615571913150120"	"571913150120"	"103F51E9"
"A0604581913150120"	"581913150120"	"103F51E9"
"A0610581913150120"	"581913150120"	"103F51E9"
"A0615581913150120"	"581913150120"	"103F51E9"
"A0604591913150120"	"591913150120"	"103F51E9"
"A0606032013150120"	"032013150120"	"103FDDBC"
"A0613412013150120"	"412013150120"	"103F51E9"
"A0602422013150120"	"422013150120"	"103F51E9"
"A0607422013150120"	"422013150120"	"103F51E9"
"A0613422013150120"	"422013150120"	"103F51E9"
"A0602432013150120"	"432013150120"	"103F51E9"
"A0607432013150120"	"432013150120"	"103F51E9"
"A0613432013150120"	"432013150120"	"103F51E9"
"A0602442013150120"	"442013150120"	"103F51E9"
"A0608522013150120"	"522013150120"	"10170740"
"A0614522013150120"	"522013150120"	"10170740"
"A0603532013150120"	"532013150120"	"10170740"
"A0609112113150120"	"112113150120"	"103FDDBC"
"A0606142113150120"	"142113150120"	"103FDDBC"
"A0607202113150120"	"202113150120"	"103F51E9"
"A0613202113150120"	"202113150120"	"103F51E9"
"A0602212113150120"	"212113150120"	"103F51E9"
"A0607212113150120"	"212113150120"	"103F51E9"
"A0613212113150120"	"212113150120"	"103F51E9"
"A0602222113150120"	"222113150120"	"103F51E9"
"A0608222113150120"	"222113150120"	"103F51E9"
"A0613222113150120"	"222113150120"	"103F51E9"
"A0602232113150120"	"232113150120"	"103F51E9"
"A0608232113150120"	"232113150120"	"103F51E9"
"A0613232113150120"	"232113150120"	"103F51E9"
"A0612092213150120"	"092213150120"	"103FDDBC"
"A0601102213150120"	"102213150120"	"103FDDBC"
"A0606102213150120"	"102213150120"	"103FDDBC"
"A0612102213150120"	"102213150120"	"103FDDBC"
"A0601112213150120"	"112213150120"	"103FDDBC"
"A0612342314150120"	"342314150120"	"103F4A5C"
"A0601352314150120"	"352314150120"	"103F4A5C"
"A0600032414150120"	"032414150120"	"1016FB74"
"A0605032414150120"	"032414150120"	"1016FB74"
"A0610032414150120"	"032414150120"	"1016FB74"
"A0601152414150120"	"152414150120"	"103F4A5C"
"A0602392414150120"	"392414150120"	"103F51E9"
"A0612392414150120"	"392414150120"	"103F51E9"
"A0602402414150120"	"402414150120"	"103F51E9"
"A0607402414150120"	"402414150120"	"103F51E9"
"A0608472514150120"	"472514150120"	"103F4A5C"
"A0613472514150120"	"472514150120"	"103F4A5C"
"A0614122614150120"	"122614150120"	"103F4A5C"
"A0607162614150120"	"162614150120"	"1016FB74"
"A0612162614150120"	"162614150120"	"1016FB74"
"A0607412614150120"	"412614150120"	"10171394"
"A0610432614150120"	"432614150120"	"103F4A5C"
"A0600242714150120"	"242714150120"	"10171394"
"A0611262714150120"	"262714150120"	"103F4A5C"
"A0615082814150120"	"082814150120"	"10171394"
"A0600372814150120"	"372814150120"	"10171394"
"A0605372814150120"	"372814150120"	"10171394"
"A0611372814150120"	"372814150120"	"10171394"
"A0603502914150120"	"502914150120"	"103FDDBC"
"A0610373014150120"	"373014150120"	"103F51E9"
"A0614314014150120"	"314014150120"	"1016FB74"
"A0603324014150120"	"324014150120"	"1016FB74"
"A0608324014150120"	"324014150120"	"1016FB74"
"A0614324014150120"	"324014150120"	"1016FB74"
"A0603334014150120"	"334014150120"	"1016FB74"
"A0608334014150120"	"334014150120"	"1016FB74"
"A0611504114150120"	"504114150120"	"10171394"
"A0600514114150120"	"514114150120"	"10171394"
"A0605514114150120"	"514114150120"	"10171394"
"A0610514114150120"	"514114150120"	"10171394"
"A0611544114150120"	"544114150120"	"1016BF71"
"A0602514214150120"	"514214150120"	"1016BF71"
"A0610054314150120"	"054314150120"	"103F473D"
"A0607104314150120"	"104314150120"	"1016FB74"
"A0613104314150120"	"104314150120"	"1016FB74"
